city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity
Delhi,2258-07-04,3,19.1,74.8,26.2,51.7,14.9,61,1,Suburban,996
Tokyo,2258-07-05,388,10.4,13.7,26.0,53.2,6.7,38,4,Suburban,833
Delhi,2258-07-06,291,23.7,48.2,37.6,30.4,1.8,92,11,Suburban,598
São Paulo,2258-07-07,90,44.2,43.8,32.5,43.6,39.8,45,13,Rural,836
London,2258-07-08,463,29.0,49.4,20.1,47.3,13.8,68,6,Urban,853
Mexico City,2258-07-09,353,68.6,42.1,26.5,63.1,27.8,42,8,Urban,1671
Tokyo,2258-07-10,180,33.1,37.2,33.3,33.0,2.8,66,9,Urban,108
London,2258-07-11,293,36.3,44.1,28.6,62.9,35.8,27,10,Suburban,1034
Mexico City,2258-07-12,213,21.8,57.9,21.8,24.6,12.8,82,1,Suburban,1141
Mexico City,2258-07-13,174,4.6,47.2,17.5,51.5,27.0,32,3,Rural,1227
Los Angeles,2258-07-14,4,47.4,65.7,33.2,60.2,22.6,37,6,Rural,472
Delhi,2258-07-15,397,29.1,106.4,37.1,38.5,0.5,39,6,Urban,662
Mexico City,2258-07-16,103,31.1,44.3,16.0,46.3,39.7,24,12,Urban,213
Delhi,2258-07-17,400,11.2,43.3,16.3,19.4,7.3,65,4,Rural,1034
London,2258-07-18,206,20.2,52.3,26.7,38.0,8.1,42,13,Urban,1592
Los Angeles,2258-07-19,405,37.5,55.9,31.9,40.8,29.9,42,5,Urban,349
Delhi,2258-07-20,448,22.3,44.3,4.3,9.2,-3.0,54,6,Urban,771
Cairo,2258-07-21,456,40.0,71.8,28.9,25.0,4.7,49,14,Urban,857
Cairo,2258-07-22,416,34.4,102.5,11.1,39.4,8.8,28,8,Urban,694
Mexico City,2258-07-23,457,40.8,39.6,29.5,36.6,3.2,87,13,Urban,1674
Delhi,2258-07-24,494,7.1,10.7,29.1,36.9,-0.8,40,10,Urban,397
London,2258-07-25,313,39.1,67.9,15.3,40.9,13.7,90,7,Urban,1587
Tokyo,2258-07-26,22,8.1,50.7,18.3,26.1,18.4,39,8,Urban,1019
Delhi,2258-07-27,255,41.4,79.0,18.8,47.9,28.1,45,4,Urban,350
Beijing,2258-07-28,102,19.6,92.4,45.1,54.5,1.0,58,5,Urban,1371
Tokyo,2258-07-29,29,31.6,55.0,13.3,54.4,11.4,92,7,Suburban,1720
London,2258-07-30,336,39.4,58.4,41.6,56.8,-1.0,73,3,Urban,961
Cairo,2258-07-31,458,55.2,42.0,25.3,56.3,-0.0,80,9,Urban,444
Los Angeles,2258-08-01,19,50.4,44.0,28.7,41.7,21.8,46,7,Suburban,97
Delhi,2258-08-02,481,32.5,6.9,19.2,31.6,0.0,61,8,Suburban,678
Los Angeles,2258-08-03,111,45.3,95.9,21.9,46.7,32.8,22,5,Urban,957
Beijing,2258-08-04,67,31.5,59.5,14.9,41.2,33.7,85,3,Urban,567
Los Angeles,2258-08-05,352,45.8,47.9,15.7,18.2,23.8,75,3,Suburban,1901
Beijing,2258-08-06,134,48.5,34.2,38.0,38.1,-3.2,43,8,Rural,638
London,2258-08-07,296,20.1,67.0,9.7,37.9,1.5,21,2,Rural,1086
Mexico City,2258-08-08,264,45.7,65.9,27.5,43.3,39.5,71,8,Urban,210
Beijing,2258-08-09,15,43.5,89.7,22.0,27.8,18.5,88,10,Suburban,1551
Delhi,2258-08-10,381,55.2,97.1,22.3,31.8,8.5,25,5,Urban,1598
Los Angeles,2258-08-11,337,17.3,49.9,46.1,23.1,9.7,57,3,Urban,1287
London,2258-08-12,23,6.4,52.3,28.3,41.2,4.7,72,6,Suburban,522
Tokyo,2258-08-13,10,32.7,40.9,43.0,49.6,23.5,74,8,Urban,1700
Tokyo,2258-08-14,97,25.3,60.4,30.8,57.7,33.9,32,5,Urban,1142
Delhi,2258-08-15,456,13.5,34.4,25.1,39.1,9.3,42,5,Rural,1704
Mexico City,2258-08-16,347,44.6,85.5,38.1,61.7,-2.7,64,1,Suburban,1173
Los Angeles,2258-08-17,418,54.0,20.5,24.9,41.5,3.9,54,14,Suburban,385
Delhi,2258-08-18,145,20.5,67.6,45.2,34.9,18.2,72,6,Urban,784
Beijing,2258-08-19,387,49.5,47.6,36.7,39.2,4.9,81,6,Urban,1387
Los Angeles,2258-08-20,412,33.9,50.5,50.2,36.5,5.0,60,10,Suburban,200
Tokyo,2258-08-21,273,28.0,59.3,37.4,34.6,1.8,46,5,Urban,944
Delhi,2258-08-22,333,15.4,24.5,31.6,42.1,2.4,38,4,Urban,414
Los Angeles,2258-08-23,50,57.5,45.1,24.2,46.4,11.7,24,14,Suburban,392
Beijing,2258-08-24,107,43.2,47.4,37.3,31.3,17.1,49,11,Urban,570
Beijing,2258-08-25,56,68.5,21.9,19.8,47.4,38.1,39,12,Urban,582
Delhi,2258-08-26,456,43.4,10.6,22.8,36.3,24.3,37,10,Urban,1837
London,2258-08-27,491,66.6,50.8,31.5,44.8,33.5,81,7,Urban,1191
Delhi,2258-08-28,373,62.7,50.3,32.5,41.1,36.0,71,12,Urban,437
Los Angeles,2258-08-29,5,39.7,38.1,41.3,41.7,11.2,24,19,Urban,204
Delhi,2258-08-30,101,25.9,59.1,35.4,40.4,4.8,71,8,Urban,1347
Beijing,2258-08-31,466,32.1,67.9,42.0,42.7,35.5,55,2,Suburban,702
Los Angeles,2258-09-01,304,25.5,44.6,33.2,50.2,1.2,34,10,Suburban,1248
Beijing,2258-09-02,154,25.2,42.0,38.9,31.9,2.1,91,8,Urban,1804
Delhi,2258-09-03,287,27.2,70.8,36.5,41.9,4.2,80,7,Suburban,1027
Los Angeles,2258-09-04,30,32.9,25.4,25.3,53.3,23.5,88,10,Rural,1610
Beijing,2258-09-05,410,46.3,42.8,21.3,20.6,35.6,53,9,Rural,733
Beijing,2258-09-06,298,9.4,62.6,37.3,47.3,17.7,46,3,Suburban,63
Mexico City,2258-09-07,243,21.2,25.8,32.7,32.8,-2.7,62,6,Urban,137
Mexico City,2258-09-08,381,30.7,58.9,18.0,35.3,32.5,88,5,Urban,76
Tokyo,2258-09-09,35,42.5,14.3,35.3,54.0,-4.8,85,9,Suburban,758
Delhi,2258-09-10,332,33.8,35.7,18.9,59.4,28.1,35,10,Urban,230
Mexico City,2258-09-11,245,20.7,55.8,25.8,23.2,34.6,62,9,Urban,195
Delhi,2258-09-12,83,30.4,62.7,28.5,46.0,15.2,83,13,Suburban,120
Delhi,2258-09-13,46,34.5,64.7,36.3,38.2,37.7,61,9,Suburban,917
London,2258-09-14,365,15.5,54.8,35.3,25.9,1.8,84,6,Suburban,1401
Cairo,2258-09-15,95,39.5,61.8,16.9,69.0,28.7,59,8,Suburban,854
Beijing,2258-09-16,460,11.1,49.5,14.3,21.7,-3.4,46,7,Suburban,351
Beijing,2258-09-17,19,29.0,10.2,37.1,41.8,8.0,83,15,Urban,1413
Mexico City,2258-09-18,199,32.5,14.3,28.6,41.9,7.5,82,15,Urban,322
Mexico City,2258-09-19,336,48.9,61.8,34.8,47.6,8.3,23,14,Urban,1874
London,2258-09-20,430,29.6,71.7,29.8,37.5,32.3,38,4,Rural,1016
Beijing,2258-09-21,262,49.9,13.8,23.7,66.3,3.6,41,8,Urban,803
Mexico City,2258-09-22,318,51.0,51.6,40.2,40.6,9.8,88,13,Urban,881
Delhi,2258-09-23,262,42.8,9.9,28.1,25.4,27.5,62,9,Urban,1155
London,2258-09-24,416,31.6,47.1,43.5,26.7,35.7,39,0,Suburban,519
Mexico City,2258-09-25,300,43.4,37.7,7.6,34.7,8.9,23,9,Urban,441
Mexico City,2258-09-26,170,52.6,63.1,40.0,27.1,35.7,35,16,Urban,652
Delhi,2258-09-27,439,28.4,81.9,16.8,41.7,17.9,49,7,Urban,1926
Delhi,2258-09-28,333,17.3,70.6,26.4,28.4,11.9,90,3,Urban,671
Delhi,2258-09-29,165,29.7,59.0,24.8,41.7,34.2,82,3,Suburban,1597
Delhi,2258-09-30,33,48.5,38.2,10.1,44.9,16.0,69,10,Urban,465
Beijing,2258-10-01,15,68.7,25.2,37.0,42.6,8.4,29,6,Urban,681
Beijing,2258-10-02,33,38.4,16.4,23.3,26.8,-2.0,59,6,Suburban,1033
Delhi,2258-10-03,308,27.1,59.5,19.6,47.6,35.7,68,11,Urban,807
Beijing,2258-10-04,272,28.1,61.7,19.3,58.1,8.7,21,7,Urban,300
Beijing,2258-10-05,14,2.4,7.9,33.5,47.3,28.1,73,2,Suburban,1539
Delhi,2258-10-06,489,23.4,20.8,23.7,31.1,-4.6,54,15,Rural,1448
Delhi,2258-10-07,99,26.5,44.1,22.8,49.4,36.6,41,9,Urban,720
Los Angeles,2258-10-08,24,48.9,27.6,39.4,47.7,34.8,84,9,Suburban,809
São Paulo,2258-10-09,208,40.9,75.7,47.1,54.9,25.5,36,8,Suburban,357
Delhi,2258-10-10,91,53.9,35.6,24.7,47.5,15.0,59,14,Suburban,714
Beijing,2258-10-11,461,41.5,42.5,27.8,48.8,28.3,50,10,Urban,1200
Delhi,2258-10-12,112,33.9,55.7,18.2,30.1,3.6,77,13,Urban,1690
Delhi,2258-10-13,160,34.4,52.3,41.4,46.2,24.6,43,8,Urban,885
Delhi,2258-10-14,341,19.6,53.1,32.8,38.8,31.5,81,7,Suburban,758
Beijing,2258-10-15,359,37.7,79.8,2.0,49.2,-0.4,80,5,Urban,1282
Beijing,2258-10-16,215,52.1,37.9,40.1,22.4,0.6,41,12,Suburban,301
Beijing,2258-10-17,121,19.5,29.1,32.2,39.4,4.8,31,1,Urban,738
Beijing,2258-10-18,250,40.4,50.3,22.8,35.0,14.0,87,12,Suburban,1458
Beijing,2258-10-19,440,26.2,49.7,36.6,44.1,7.1,51,11,Urban,1520
Beijing,2258-10-20,278,28.7,49.8,45.2,47.0,34.6,35,10,Urban,1707
Delhi,2258-10-21,135,21.9,79.0,42.1,44.6,-2.8,45,10,Rural,89
Delhi,2258-10-22,210,40.4,58.0,27.7,45.0,10.1,29,7,Suburban,61
Delhi,2258-10-23,46,44.3,68.6,31.6,39.3,19.1,24,13,Suburban,1375
Mexico City,2258-10-24,30,33.6,71.8,39.1,36.5,-2.9,70,13,Rural,1552
Beijing,2258-10-25,473,38.3,87.2,26.2,47.9,3.0,38,4,Urban,1106
Delhi,2258-10-26,303,47.5,19.0,38.6,26.1,12.3,54,4,Rural,1755
Delhi,2258-10-27,237,65.2,27.9,34.1,42.9,14.6,87,5,Urban,472
Mexico City,2258-10-28,447,39.2,16.3,33.0,28.5,16.7,72,13,Urban,608
Tokyo,2258-10-29,437,26.1,74.2,9.1,60.4,9.4,35,5,Suburban,1749
Delhi,2258-10-30,22,41.0,7.4,28.6,41.3,36.2,82,10,Suburban,1226
Mexico City,2258-10-31,113,7.9,33.4,12.7,42.4,16.4,23,5,Urban,885
Delhi,2258-11-01,58,39.6,55.1,23.2,48.6,12.9,80,6,Suburban,929
Delhi,2258-11-02,228,24.4,12.2,34.5,37.1,9.2,22,7,Urban,322
Delhi,2258-11-03,66,54.4,98.3,29.5,33.9,17.5,44,10,Urban,1542
Beijing,2258-11-04,53,35.3,34.3,35.9,44.2,4.5,83,9,Urban,302
Delhi,2258-11-05,160,28.3,61.6,24.8,59.9,25.6,76,10,Rural,869
Beijing,2258-11-06,24,23.9,20.7,29.0,50.8,17.6,49,2,Suburban,234
Tokyo,2258-11-07,121,29.1,85.9,45.7,41.5,7.9,93,0,Suburban,1441
Delhi,2258-11-08,304,22.4,32.1,27.1,42.9,28.4,39,15,Urban,851
Mexico City,2258-11-09,194,26.7,72.1,37.2,33.7,-0.1,24,12,Suburban,978
Delhi,2258-11-10,460,10.2,67.5,28.6,44.7,-2.5,30,4,Urban,1628
Mexico City,2258-11-11,167,66.9,103.5,43.7,36.4,11.8,70,12,Urban,585
Los Angeles,2258-11-12,463,36.0,44.6,24.7,27.8,20.7,65,12,Urban,1542
Delhi,2258-11-13,287,38.7,5.5,23.1,36.4,28.6,22,17,Suburban,1918
Beijing,2258-11-14,472,25.0,54.0,20.5,46.8,37.3,73,6,Urban,200
Beijing,2258-11-15,495,8.0,53.8,31.4,49.3,11.2,31,6,Urban,1187
London,2258-11-16,81,12.9,44.1,11.2,35.1,18.7,42,6,Urban,1906
Delhi,2258-11-17,408,25.8,32.8,31.5,47.8,22.2,81,8,Suburban,631
Beijing,2258-11-18,445,31.8,73.5,38.4,39.7,0.7,33,4,Urban,464
Delhi,2258-11-19,181,37.1,67.9,42.6,41.5,16.2,32,4,Urban,1390
Mexico City,2258-11-20,251,37.2,45.4,43.8,39.8,31.1,43,6,Urban,1471
Beijing,2258-11-21,438,28.5,46.0,32.1,23.1,29.4,84,9,Urban,1462
Beijing,2258-11-22,152,19.3,57.2,43.0,54.8,19.0,89,8,Suburban,1509
Delhi,2258-11-23,284,20.1,51.7,44.1,36.1,24.2,54,4,Urban,1983
Beijing,2258-11-24,110,24.0,58.0,30.2,45.8,7.6,21,9,Urban,1176
London,2258-11-25,143,5.2,38.4,32.8,54.7,33.0,70,2,Rural,904
Mexico City,2258-11-26,57,21.3,45.6,27.7,35.1,7.8,76,7,Urban,1150
London,2258-11-27,430,5.9,42.4,35.7,33.2,35.2,28,2,Urban,1472
Mexico City,2258-11-28,131,1.1,23.5,27.8,38.5,31.7,76,3,Suburban,1929
Mexico City,2258-11-29,493,50.3,43.3,27.2,48.2,26.5,81,1,Urban,123
Tokyo,2258-11-30,21,53.1,28.8,25.3,29.8,22.5,83,11,Suburban,1890
Beijing,2258-12-01,7,55.5,50.4,40.3,32.9,13.5,56,12,Urban,1045
Los Angeles,2258-12-02,198,35.0,1.0,39.0,37.4,7.8,84,8,Rural,1531
Delhi,2258-12-03,173,49.2,60.3,42.3,49.6,33.1,24,4,Urban,1357
Delhi,2258-12-04,127,44.6,26.2,36.4,43.2,28.3,55,6,Urban,365
Beijing,2258-12-05,149,10.6,50.3,23.9,35.3,1.5,66,12,Suburban,584
Beijing,2258-12-06,466,5.9,41.7,30.1,31.4,21.5,56,10,Urban,429
Delhi,2258-12-07,284,37.0,39.7,24.1,46.7,33.7,50,8,Urban,1080
Beijing,2258-12-08,199,25.7,59.6,18.3,23.0,22.9,63,3,Urban,1076
Mexico City,2258-12-09,447,22.3,72.2,32.9,34.1,1.6,68,10,Urban,626
Mexico City,2258-12-10,406,23.9,19.9,45.4,26.7,-4.8,33,7,Urban,799
Delhi,2258-12-11,9,19.4,89.8,32.8,14.0,3.0,76,9,Urban,1294
São Paulo,2258-12-12,219,33.6,60.6,37.6,32.6,16.8,91,7,Suburban,1878
Mexico City,2258-12-13,251,48.8,44.7,50.7,26.5,36.1,37,9,Urban,522
Delhi,2258-12-14,279,24.9,47.7,46.5,43.3,5.1,58,9,Urban,476
Delhi,2258-12-15,434,28.3,48.4,31.4,48.8,11.1,23,5,Urban,1569
Tokyo,2258-12-16,400,39.5,33.9,28.6,20.3,14.8,27,3,Rural,1639
Beijing,2258-12-17,311,31.0,91.0,30.0,20.8,17.6,84,7,Suburban,769
Delhi,2258-12-18,246,31.7,53.3,6.3,30.6,33.0,72,5,Urban,1959
Delhi,2258-12-19,210,43.7,63.5,26.8,29.5,12.4,43,10,Urban,1262
Delhi,2258-12-20,238,31.5,35.7,24.6,44.2,9.0,23,6,Urban,138
Los Angeles,2258-12-21,60,31.5,43.0,36.5,55.7,7.4,65,12,Rural,529
Mexico City,2258-12-22,64,15.7,30.8,22.2,38.1,24.1,58,2,Urban,734
Beijing,2258-12-23,251,53.4,78.3,20.1,27.7,13.0,42,15,Suburban,1933
Beijing,2258-12-24,313,25.6,50.2,21.7,35.4,24.3,74,10,Urban,1983
Cairo,2258-12-25,257,19.2,54.7,25.3,58.6,30.7,32,0,Urban,1281
Mexico City,2258-12-26,410,49.0,56.3,24.2,40.8,19.8,76,11,Suburban,1844
Los Angeles,2258-12-27,29,33.4,41.7,28.2,56.0,17.2,62,5,Urban,863
Delhi,2258-12-28,415,17.3,104.4,23.9,53.4,8.4,68,5,Urban,1697
São Paulo,2258-12-29,427,20.8,35.8,30.5,18.7,20.9,50,11,Urban,258
Los Angeles,2258-12-30,44,23.1,55.8,41.3,52.9,24.5,41,14,Urban,1944
Delhi,2258-12-31,55,24.8,68.0,36.9,25.6,0.2,52,7,Urban,767
Tokyo,2259-01-01,220,11.8,47.8,53.1,30.9,13.7,69,6,Suburban,1207
Beijing,2259-01-02,465,6.4,49.9,28.0,53.2,38.3,86,6,Urban,1218
Delhi,2259-01-03,155,30.9,36.4,36.3,56.1,38.0,61,8,Urban,1828
Beijing,2259-01-04,307,40.4,52.2,29.2,51.6,-4.8,31,7,Urban,71
London,2259-01-05,467,45.1,87.4,58.6,61.2,5.5,58,15,Urban,1853
Beijing,2259-01-06,282,65.8,29.4,22.0,39.0,4.7,31,11,Rural,687
Beijing,2259-01-07,455,54.0,54.5,29.6,60.0,17.8,62,7,Urban,852
Beijing,2259-01-08,448,36.8,38.8,16.2,48.5,-2.1,26,0,Suburban,518
Cairo,2259-01-09,94,32.4,83.9,36.7,27.2,28.0,55,4,Urban,481
Delhi,2259-01-10,302,22.5,69.5,30.2,44.6,22.2,46,14,Urban,806
Delhi,2259-01-11,419,20.9,45.9,32.2,29.8,21.9,69,4,Urban,233
Los Angeles,2259-01-12,338,24.0,40.2,50.7,58.2,-2.7,50,8,Urban,916
Delhi,2259-01-13,210,10.4,71.5,34.0,37.9,20.2,64,3,Suburban,885
Beijing,2259-01-14,131,33.1,77.8,27.0,58.2,37.2,27,2,Urban,471
London,2259-01-15,443,39.3,56.3,31.8,42.2,14.1,76,2,Urban,606
Delhi,2259-01-16,237,27.9,54.1,29.1,20.0,27.0,27,4,Suburban,1531
Delhi,2259-01-17,39,47.6,20.8,19.0,65.9,0.6,66,13,Urban,1069
Beijing,2259-01-18,256,25.9,57.3,25.0,27.5,7.5,88,7,Urban,113
Los Angeles,2259-01-19,246,28.1,22.0,24.0,26.4,3.5,61,9,Urban,1146
Beijing,2259-01-20,447,63.4,2.8,26.2,42.5,0.1,67,8,Suburban,584
London,2259-01-21,42,41.6,38.3,41.2,32.7,36.1,31,7,Suburban,136
Delhi,2259-01-22,73,46.2,50.7,48.9,35.3,31.5,88,10,Urban,1220
Delhi,2259-01-23,54,28.1,71.3,21.3,34.6,28.0,32,5,Urban,1991
London,2259-01-24,109,35.2,13.3,7.8,30.6,-4.0,62,8,Urban,1631
Beijing,2259-01-25,253,36.2,61.7,28.5,21.6,20.9,78,11,Urban,383
Beijing,2259-01-26,325,37.8,57.5,26.1,54.3,28.0,68,8,Suburban,338
Tokyo,2259-01-27,447,22.3,31.6,32.8,51.3,23.0,67,4,Rural,1284
Delhi,2259-01-28,45,56.2,45.0,42.5,41.9,33.2,64,6,Urban,316
Mexico City,2259-01-29,48,32.6,37.4,19.2,47.0,36.0,42,11,Urban,1814
Los Angeles,2259-01-30,413,50.1,28.3,29.9,31.6,30.3,45,5,Urban,1958
Beijing,2259-01-31,484,14.8,34.3,36.8,35.2,39.5,40,2,Urban,1616
Delhi,2259-02-01,93,26.9,53.7,26.6,42.2,15.2,28,3,Urban,1027
Delhi,2259-02-02,183,41.1,91.5,27.2,24.5,35.3,25,8,Urban,423
Mexico City,2259-02-03,195,27.3,63.5,25.1,38.5,32.0,22,4,Urban,1880
Delhi,2259-02-04,196,34.7,53.1,35.4,53.3,31.2,38,6,Urban,1383
Delhi,2259-02-05,15,31.7,60.0,28.3,25.3,-3.7,53,10,Suburban,1359
Beijing,2259-02-06,42,30.8,71.0,28.7,47.4,29.3,92,6,Suburban,923
Mexico City,2259-02-07,491,33.7,34.8,26.2,49.0,8.7,57,9,Urban,1976
Tokyo,2259-02-08,354,52.2,36.6,32.3,45.8,3.4,57,8,Urban,96
Los Angeles,2259-02-09,466,33.6,56.6,36.2,18.9,7.2,72,12,Urban,377
Mexico City,2259-02-10,309,26.8,64.6,39.4,58.8,28.9,79,2,Suburban,150
Delhi,2259-02-11,426,17.1,33.6,28.7,57.0,37.2,44,4,Urban,111
Delhi,2259-02-12,285,51.8,56.5,42.2,67.7,-0.6,76,16,Urban,753
Delhi,2259-02-13,482,25.2,61.1,21.9,28.9,4.9,68,7,Urban,1019
Mexico City,2259-02-14,160,35.9,57.4,34.2,24.3,33.2,32,11,Urban,1828
Mexico City,2259-02-15,338,25.2,61.5,10.2,42.9,16.5,34,10,Urban,1487
Delhi,2259-02-16,220,48.4,33.4,43.7,42.8,8.4,36,10,Urban,782
Mexico City,2259-02-17,443,47.9,30.2,26.8,58.0,-0.3,38,12,Urban,1978
Los Angeles,2259-02-18,357,29.2,61.2,28.7,57.2,13.7,80,9,Suburban,623
Mexico City,2259-02-19,454,19.0,30.0,20.6,31.5,11.9,42,5,Urban,204
Cairo,2259-02-20,222,43.0,55.3,33.1,26.9,39.6,59,8,Suburban,1865
Delhi,2259-02-21,176,41.6,39.5,33.8,37.4,31.1,78,8,Urban,1681
Mexico City,2259-02-22,204,61.3,36.5,25.9,31.5,5.6,74,15,Suburban,892
Delhi,2259-02-23,177,36.7,55.5,18.0,55.8,0.5,68,5,Urban,1006
Delhi,2259-02-24,108,29.5,38.2,23.1,75.2,17.5,37,6,Urban,791
Delhi,2259-02-25,427,41.1,48.7,31.5,51.9,6.2,38,5,Suburban,935
Beijing,2259-02-26,410,56.8,79.8,37.9,43.4,25.3,89,9,Urban,1668
Delhi,2259-02-27,445,37.4,74.6,30.4,27.3,23.1,50,8,Urban,385
London,2259-02-28,323,30.6,39.9,36.0,18.0,31.5,75,3,Urban,979
Beijing,2259-03-01,354,44.4,63.9,38.3,38.0,5.3,25,10,Urban,957
Los Angeles,2259-03-02,199,23.0,40.0,31.3,42.0,12.7,34,8,Suburban,753
Mexico City,2259-03-03,263,20.5,33.9,5.2,23.0,33.4,75,6,Urban,668
Tokyo,2259-03-04,36,4.1,42.1,14.9,47.6,38.5,93,11,Urban,850
Delhi,2259-03-05,233,54.8,71.3,18.6,40.1,24.0,30,6,Urban,856
Delhi,2259-03-06,473,53.1,58.2,32.3,21.9,25.6,48,11,Urban,1863
Los Angeles,2259-03-07,24,52.1,62.3,43.9,33.1,33.3,77,19,Suburban,1962
London,2259-03-08,414,33.4,62.2,41.7,26.9,6.6,40,8,Suburban,1095
Delhi,2259-03-09,497,57.7,19.2,17.3,55.5,7.3,71,13,Suburban,1794
Beijing,2259-03-10,325,36.5,47.4,34.7,44.5,21.7,91,8,Urban,1665
Beijing,2259-03-11,43,34.3,69.7,20.0,49.8,-1.2,46,7,Rural,1094
Tokyo,2259-03-12,211,46.5,66.1,47.5,39.1,1.6,64,14,Rural,1335
Mexico City,2259-03-13,167,61.4,59.0,23.3,2.9,39.3,56,15,Urban,902
São Paulo,2259-03-14,188,44.5,52.5,27.1,48.0,26.9,29,3,Urban,1623
Beijing,2259-03-15,9,28.3,45.4,40.8,29.0,1.9,72,9,Urban,347
Delhi,2259-03-16,296,51.2,72.7,39.2,26.2,13.3,74,8,Urban,148
Los Angeles,2259-03-17,191,5.0,60.4,12.1,15.5,26.5,88,4,Urban,1656
Los Angeles,2259-03-18,407,12.0,37.4,28.3,50.4,30.8,45,12,Urban,1057
Beijing,2259-03-19,327,13.5,86.8,20.4,22.2,39.1,71,5,Urban,1982
Delhi,2259-03-20,25,33.1,24.2,15.7,47.2,6.7,30,9,Urban,1749
Delhi,2259-03-21,3,18.1,35.2,27.3,33.8,21.5,94,7,Urban,246
Mexico City,2259-03-22,296,49.6,52.7,39.5,24.3,22.0,67,7,Urban,1598
Delhi,2259-03-23,103,36.0,28.2,32.6,49.7,39.0,62,5,Rural,311
Delhi,2259-03-24,206,8.8,42.2,34.2,40.0,11.1,88,8,Urban,809
Mexico City,2259-03-25,90,4.4,36.7,23.1,36.4,27.6,33,4,Urban,738
Mexico City,2259-03-26,445,22.1,79.8,30.9,12.1,26.2,84,3,Urban,535
Beijing,2259-03-27,310,42.8,54.0,25.2,32.6,18.4,83,11,Suburban,1799
Los Angeles,2259-03-28,71,26.1,35.3,14.9,53.3,10.6,59,5,Urban,628
Beijing,2259-03-29,67,32.9,56.0,23.2,39.4,31.6,20,6,Urban,338
Beijing,2259-03-30,338,30.2,19.3,28.3,28.8,28.6,54,9,Suburban,1702
Cairo,2259-03-31,219,40.9,72.7,34.9,39.7,9.9,44,10,Urban,754
Delhi,2259-04-01,275,52.2,28.0,35.7,31.1,22.9,94,14,Urban,426
Delhi,2259-04-02,0,51.7,66.2,35.6,48.8,0.4,57,11,Urban,1667
Beijing,2259-04-03,24,28.7,48.6,45.2,26.3,19.0,68,10,Suburban,1982
Beijing,2259-04-04,144,42.5,53.6,30.6,43.3,1.4,31,13,Urban,539
London,2259-04-05,404,33.6,57.8,31.2,36.2,-3.6,30,12,Urban,1895
Beijing,2259-04-06,109,23.4,40.5,31.2,35.2,9.2,47,3,Urban,1807
Mexico City,2259-04-07,424,42.8,41.5,49.4,31.6,-3.4,20,15,Suburban,869
Mexico City,2259-04-08,477,32.2,49.3,41.7,50.8,0.4,37,3,Urban,777
Beijing,2259-04-09,163,39.4,52.4,35.4,39.0,14.8,90,11,Suburban,1916
Los Angeles,2259-04-10,402,45.4,35.5,28.3,37.4,9.1,77,6,Urban,1672
Delhi,2259-04-11,324,30.4,28.3,31.8,25.8,38.7,73,4,Urban,1874
Los Angeles,2259-04-12,491,34.3,76.6,20.7,28.4,0.2,31,10,Rural,1355
Mexico City,2259-04-13,366,33.7,52.7,15.5,42.0,0.5,85,9,Urban,1337
Tokyo,2259-04-14,23,28.4,48.9,35.8,49.3,19.8,94,4,Urban,1689
Delhi,2259-04-15,472,26.8,72.8,44.0,48.2,23.1,56,8,Urban,1725
Delhi,2259-04-16,419,23.0,22.0,24.5,27.2,9.2,41,15,Urban,455
Delhi,2259-04-17,8,28.7,56.0,23.9,53.4,0.1,23,5,Urban,1089
Delhi,2259-04-18,322,53.2,80.0,22.8,42.8,1.0,45,5,Urban,792
London,2259-04-19,404,62.6,79.4,1.3,22.3,5.6,33,12,Suburban,178
Mexico City,2259-04-20,257,55.2,70.2,42.9,29.5,26.9,37,10,Suburban,643
Beijing,2259-04-21,357,14.8,62.9,36.0,34.6,35.9,24,3,Suburban,322
Los Angeles,2259-04-22,265,16.4,36.1,49.4,36.7,13.8,75,2,Suburban,1170
Delhi,2259-04-23,199,44.6,53.7,34.2,20.4,10.3,59,5,Urban,823
Beijing,2259-04-24,371,36.6,78.8,41.2,34.0,24.0,93,12,Suburban,1671
Beijing,2259-04-25,425,70.5,56.9,30.8,24.9,6.8,81,11,Urban,726
Tokyo,2259-04-26,303,34.8,74.1,23.6,11.0,27.3,60,16,Rural,1149
Beijing,2259-04-27,96,54.8,54.4,41.0,37.1,24.5,31,4,Urban,732
Beijing,2259-04-28,139,18.6,19.9,41.4,53.5,-2.3,89,4,Suburban,824
Tokyo,2259-04-29,303,49.4,42.6,35.5,34.7,12.0,28,8,Urban,954
London,2259-04-30,301,49.5,42.4,35.9,45.7,25.4,82,6,Urban,1116
Los Angeles,2259-05-01,165,41.1,70.6,38.4,31.1,38.2,87,16,Urban,1115
Delhi,2259-05-02,454,50.7,53.8,20.5,15.6,27.4,46,10,Rural,651
Delhi,2259-05-03,76,30.7,86.8,38.0,41.7,3.2,61,12,Urban,839
Delhi,2259-05-04,317,18.3,95.9,31.9,53.9,4.9,38,4,Urban,1733
London,2259-05-05,156,9.8,26.7,30.1,25.7,10.8,43,0,Urban,1088
Tokyo,2259-05-06,119,45.3,29.4,54.9,39.3,33.3,85,9,Suburban,1495
Mexico City,2259-05-07,141,31.6,68.0,39.6,45.6,7.0,65,5,Urban,220
London,2259-05-08,38,30.1,48.9,36.4,46.3,34.9,41,6,Urban,1584
